© 2000-2021 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Organismal Development,Reproductive System Development and Function	Development of reproductive system	3.47E-02	CSN2,GDF9	2
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of phagocytes	3.51E-02	AZU1,GC	2
Molecular Transport	Transport of molecule	3.54E-02	APOC3,CGA,CSN2,EDN3,GC,SLC22A7,UCP1	7
Cell Death and Survival,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities	Cell death of beta islet cells	3.55E-02	APOC3	1
Cardiovascular System Development and Function,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Organismal Development,Tissue Development	Proliferation of microvascular endothelial cells	3.55E-02	PROK1	1
Cardiovascular Disease,Hematological Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	Hyperlipoproteinemia type I	3.55E-02	APOC3	1
Cell Death and Survival	Killing of cells	3.61E-02	AZU1,NR4A1	2
Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	Inborn error of amino acid metabolism	3.65E-02	DCDC2C,OTC	2
Cellular Assembly and Organization,Tissue Development	Formation of filaments	3.69E-02	CSF3,DES,NR4A1	3
Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism	Metabolism of vitamin D	3.75E-02	GC	1
Cellular Movement	Migration of rhabdomyosarcoma cell lines	3.75E-02	NR4A1	1
Connective Tissue Disorders,Developmental Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Pectus excavatum	3.75E-02	GABRA4	1
Cardiovascular Disease,Organismal Injury and Abnormalities,Respiratory Disease	Cardiorespiratory arrest	3.75E-02	GABRA4	1
Organismal Injury and Abnormalities,Renal and Urological Disease	Severe acute renal failure	3.75E-02	GABRA4	1
Organismal Injury and Abnormalities,Renal and Urological Disease	End-stage chronic kidney disease	3.75E-02	GABRA4	1
Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Development of skin tumor	3.75E-02	EDN3	1
Lipid Metabolism,Small Molecule Biochemistry	Catabolism of triacylglycerol	3.75E-02	APOC3	1
Neurological Disease,Respiratory Disease,Skeletal and Muscular Disorders	Laryngismus	3.75E-02	GABRA4	1
Organismal Injury and Abnormalities,Renal and Urological Disease	End-stage renal failure	3.75E-02	GABRA4	1
Cancer,Organismal Injury and Abnormalities	Benign solid tumor	3.81E-02	BRINP3,EDN3,FOSB,NR4A1,TCN1,UCP1	6
Cardiovascular Disease,Organismal Injury and Abnormalities,Respiratory Disease	Pulmonary Hypertension	3.84E-02	AGTR2,GABRA4	2
Cardiovascular Disease	Severe cardiovascular disorder	3.89E-02	AGTR2,APOC3	2
Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities	Advanced Dukes' stage colorectal cancer	3.96E-02	mir-126	1
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Efflux of phospholipid	3.96E-02	APOC3	1
Infectious Diseases,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Pneumocystosis jiroveci pneumonia	3.96E-02	GABRA4	1
Cancer,Organismal Injury and Abnormalities	Development of melanoma	3.96E-02	EDN3	1
Cancer,Cellular Development,Cellular Growth and Proliferation,Neurological Disease,Organismal Injury and Abnormalities,Tumor Morphology	Proliferation of glioma cells	3.96E-02	CSF3	1
Neurological Disease	Acute tremor	3.96E-02	GABRA4	1
Cell-To-Cell Signaling and Interaction	Intercellular communication	4.08E-02	EDN3,LALBA	2
Gene Expression	Transcription	4.09E-02	AZU1,CGA,CSF3,EDN3,FOSB,NELL1,NR4A1,TFF1,VSTM2A	9
Cell Morphology,Embryonic Development,Hair and Skin Development and Function,Organ Development,Organismal Development,Tissue Development	Keratinization of epidermis	4.13E-02	KRT27,KRT77	2
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Chronic insomnia	4.16E-02	GABRA4	1
Molecular Transport	Transmembrane transport of H+	4.16E-02	UCP1	1
Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities	Familial coronary disease	4.16E-02	APOC3	1
Neurological Disease,Organismal Injury and Abnormalities	Acute prolonged motor seizure	4.16E-02	GABRA4	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Heart failure with preserved ejection fraction	4.16E-02	AGTR2	1
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Rheumatic Disease	4.17E-02	AZU1,EDN3,FOSB,GABRA4,mir-126,NELL1,NR4A1,TFPI2	8
Organismal Injury and Abnormalities,Renal and Urological Disease	Chronic renal failure	4.18E-02	CSF3,GABRA4	2
Cellular Movement	Cell movement	4.20E-02	AZU1,BRINP3,CSF3,EDN3,FOSB,GC,mir-126,NR4A1,PROK1,TFF1	10
Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities	Diabetes mellitus	4.27E-02	AGTR2,APOC3,GABRA4,GC,mir-126,NR4A1	6
Cellular Movement	Invasion of kidney cell lines	4.36E-02	TFF1	1
Infectious Diseases	Infection of mammalia	4.36E-02	CSF3	1
Developmental Disorder,Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease	Cryptorchidism	4.36E-02	GABRA4	1
Cancer,Cellular Development,Organismal Injury and Abnormalities,Tumor Morphology	Differentiation of myeloid leukemia cells	4.36E-02	CSF3	1
Small Molecule Biochemistry,Vitamin and Mineral Metabolism	Metabolism of cyanocobalamin	4.36E-02	TCN1	1
Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Skin carcinoma	4.37E-02	ADAM18,BRINP3,CSN1S1,CSN2,DCDC2C,GABRA4,GC,HOXB8,LALBA,MUC7,NELL1,OPRPN,TCN1,TEDDM1,TFPI2,TRDN	16
Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease	Polycystic ovary syndrome	4.38E-02	GDF9,LINC00200	2
Skeletal and Muscular System Development and Function	Muscle contraction	4.53E-02	DES,TRDN	2
Behavior,Nervous System Development and Function	Memory	4.57E-02	CSF3	1
Cardiovascular Disease	Stage II systolic hypertension	4.57E-02	AGTR2	1
Neurological Disease	Unconsciousness	4.57E-02	GABRA4	1
Cancer,Organismal Injury and Abnormalities	Carcinoma	4.68E-02	ADAM18,ADGRD2,AGTR2,APOC3,AZU1,BRINP3,CGA,CHIAP2,CRCT1,CSF3,CSN1S1,CSN2,DCDC2C,DES,EDN3,FOSB,GABRA4,GC,GDF9,HOXB8,KLK12,KRT27,KRT77,LALBA,mir-126,MUC7,NELL1,NPY2R,NR4A1,OPRPN,OTC,PAGE2/PAGE2B,PCA3,PROK1,SLC22A7,STUM,TCN1,TEDDM1,TFF1,TFPI2,TRDN,UCP1,VSTM2A	43
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Non-traumatic arthropathy	4.70E-02	EDN3,FOSB,GABRA4,NELL1,NR4A1,TFPI2	6
Cellular Development,Cellular Growth and Proliferation	Colony formation of cells	4.71E-02	CSF3,NR4A1,PROK1,TFF1	4
Cardiovascular Disease,Neurological Disease,Organismal Injury and Abnormalities	Acute stroke	4.77E-02	AGTR2	1
Cardiovascular System Development and Function	Vasoconstriction of blood vessel	4.77E-02	EDN3	1
Auditory Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Chronic otitis media	4.77E-02	GABRA4	1
Cellular Movement,Embryonic Development	Invasion of embryonic cell lines	4.77E-02	NR4A1	1
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Primary insomnia	4.77E-02	GABRA4	1
Hematological System Development and Function	Circulation of blood	4.77E-02	EDN3	1
Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities	Familial heart disease	4.78E-02	APOC3,DES,TRDN	3
Cardiovascular Disease	Refractory essential hypertension	4.97E-02	AGTR2	1
Dental Disease,Digestive System Development and Function,Embryonic Development,Gastrointestinal Disease,Organ Development,Organismal Development,Organismal Injury and Abnormalities	Dental caries	4.97E-02	GABRA4	1
Endocrine System Disorders,Gastrointestinal Disease,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Autoimmune pancreatitis	4.97E-02	GC	1
Cardiovascular Disease,Cardiovascular System Development and Function,Hereditary Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Dilated cardiomyopathy 1A	4.97E-02	DES	1
Neurological Disease,Organismal Injury and Abnormalities	Temporal lobe epilepsy	4.97E-02	GABRA4	1
Infectious Diseases,Organismal Injury and Abnormalities,Respiratory Disease	Pulmonary tuberculosis	4.97E-02	GABRA4	1
Cellular Movement	Migration of stem cells	4.97E-02	CSF3	1
Cell Death and Survival	Cell death of lymphoid cells	5.00E-02	CSF3,LALBA	2
