"Categories","Diseases or Functions Annotation","p-value","Molecules","# Molecules"
"Cancer,Organismal Injury and Abnormalities","Pelvic serous carcinoma",0.00269,"CDH1,CP,CRABP1,FOXA2,GAL,INA,KRT20,KRT34,KRT81,MSLN,PI3,S100A2,VGLL1",13
"Cardiovascular Disease,Organismal Injury and Abnormalities,Respiratory Disease","Pulmonary Hypertension",0.00272,"CA6,CA9,CHRNA9,CXCL10,GABRP,SCN1A",6
"Carbohydrate Metabolism,Lipid Metabolism,Small Molecule Biochemistry","Binding of lipopolysaccharide",0.00308,"BPI,LBP",2
"Cardiovascular Disease","Prehypertension",0.0031,"CA6,CA9,SLC12A1",3
"Developmental Disorder,Neurological Disease,Organismal Injury and Abnormalities","Lennox-Gastaut syndrome",0.00319,"CA6,CA9,GABRP,SCN1A",4
"Organismal Injury and Abnormalities,Psychological Disorders","Generalized anxiety disorder",0.00337,"CA6,CA9,GABRP,SCN1A",4
"Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities","Appendicitis",0.0034,"CHRNA9,OPRK1,SCN1A",3
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Brugada syndrome type 1",0.0034,"ANKRD1,HCN4,KCNE5",3
"Neurological Disease,Organismal Injury and Abnormalities","Migraine with aura",0.00357,"CA6,CA9,OPRK1,SCN1A",4
"Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Brain damage",0.00365,"CA6,CA9,CHRNA9,GABBR2,GABRP,SCN1A",6
"Ophthalmic Disease,Organismal Injury and Abnormalities","Angle-closure glaucoma",0.00371,"CA6,CA9,SCN1A",3
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Anterior cruciate ligament injury",0.00371,"GABRP,OPRK1,SCN1A",3
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Familial left ventricular noncompaction",0.00371,"ACTN2,ANKRD1,HCN4",3
"Skeletal and Muscular Disorders","Hallux valgus",0.00382,"OPRK1,SCN1A",2
"Cardiovascular Disease,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Stasis ulcer",0.00382,"FGA,FGB",2
"Neurological Disease,Organismal Injury and Abnormalities","Tonic-clonic seizure",0.00389,"CA6,CA9,GABBR2,GABRP,KCNQ2,SCN1A",6
"Molecular Transport","Transport of bicarbonate",0.00404,"CA6,CA9,SLC26A9",3
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities","Small-cell carcinoma",0.00424,"C18orf63,C1orf94,CALCB,CCKBR,CDH19,CHGA,CHRDL2,CT83,DDC,DLX6,DNER,FBN3,FETUB,FGA,FZD9,GLDC,HRCT1,IL36A,KLHL1,KRT20,LACRT,LCT,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PGBD5,PXDNL,RGR,S100A8,SCN1A,SH3GL3,SLC12A1,SLC26A9,SLIT1,SMR3A,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,ZP4",52
"Gastrointestinal Disease","Vomiting",0.0043,"CA6,CA9,GABRP,OPRK1,SCN1A",5
"Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities","Hypokalemia",0.00439,"CA6,CA9,SLC12A1",3
"Auditory Disease","Tinnitus",0.00439,"CA6,CA9,SCN1A",3
"Neurological Disease,Organismal Injury and Abnormalities","Generalized epilepsy",0.00481,"CA6,CA9,GABBR2,GABRP,KCNQ2,SCN1A",6
"Dermatological Diseases and Conditions,Inflammatory Disease,Organismal Injury and Abnormalities","Acne",0.00481,"CA6,CA9,MMP1,PI3,UGT1A9 (includes others)",5
"Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Traumatic brain injury",0.00481,"CA6,CA9,CHRNA9,GABRP,SCN1A",5
"Organismal Injury and Abnormalities,Respiratory Disease","Obstructive sleep apnea",0.00487,"CA6,CA9,DDC,GABRP",4
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Hyperplasia of genital organ",0.00487,"CDH1,FOXA2,GABRP,MMP1",4
"Respiratory Disease","Lower respiratory tract disorder",0.00507,"CA6,CA9,CHRNA9,CYP2A6 (includes others),DLK1,GABRP,LBP,MMP1,NKX2-1,OPRK1",10
"Neurological Disease,Psychological Disorders","Attention deficit hyperactivity disorder",0.00512,"CARTPT,FADS2,GABRP,OPRK1",4
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Autosomal dominant early infantile epileptic encephalopathy",0.00514,"GABBR2,KCNQ2,SCN1A",3
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Primary non-small cell lung carcinoma",0.00514,"GLDC,LIN28B,NKX2-1",3
"Immunological Disease","Delayed hypersensitive reaction",0.00514,"KRT6C,PI3,S100A2",3
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Plaque psoriasis",0.00524,"CXCL10,KRT6C,PI3,S100A8,SPRR1A,SPRR2D",6
"Gastrointestinal Disease,Organismal Injury and Abnormalities","Esophageal lesion",0.00531,"CA9,CDH1,CRISP3,DLX6,FADS2,KRT20,LACRT,LBP,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,PADI3,PROKR2,PXDNL,S100A8,SCN1A,SLC39A12,STRA8,UBD",19
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function","Aggregation of blood cells",0.00536,"CDH1,CXCL10,FGA,FGB,S100A8",5
"Psychological Disorders","Opioid-related disorder",0.00537,"CA6,CA9,GABRP,OPRK1",4
"Cancer,Organismal Injury and Abnormalities","Blue round small cell tumor",0.0054,"A2ML1,C18orf63,C1orf94,CALCB,CCKBR,CDH19,CHGA,CHRDL2,CT83,DDC,DLX6,DNER,FBN3,FETUB,FGA,FZD9,GLDC,HRCT1,IL36A,KCNE5,KLHL1,KRT20,LACRT,LCT,LIN28B,LMO1,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PGBD5,PXDNL,RGR,S100A8,SCN1A,SH3GL3,SLC12A1,SLC26A9,SLIT1,SMR3A,STRA8,SULT1C3,TAFA4,TBXT,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,ZP4",56
"Organismal Injury and Abnormalities","Extraintestinal functional disorder",0.00552,"CA6,CA9,CARTPT,CHRNA9,CP,GABRP,LBX1,OPRK1,SCN1A,SLC1A6",10
"Organismal Injury and Abnormalities","Acute postoperative pain",0.00554,"OPRK1,SCN1A",2
"Cardiovascular Disease,Neurological Disease,Organismal Injury and Abnormalities","Cerebral vasospasm",0.00554,"CA6,CA9",2
"Developmental Disorder,Organismal Injury and Abnormalities","Drug induced edema",0.00554,"CA6,CA9",2
"Gastrointestinal Disease,Organismal Injury and Abnormalities","Periodontal disease",0.00555,"CRNN,MMP1,PRSS33,SCN1A,SPRR1A,SPRR2D",6
"Developmental Disorder,Neurological Disease,Organismal Injury and Abnormalities","Developmental epilepsy",0.00571,"CA6,CA9,GABBR2,GABRP,KCNQ2,SCN1A",6
"Antimicrobial Response,Inflammatory Response","Antimicrobial response",0.00572,"BPI,CHGA,DCD,LACRT,OPRK1,PI3,PRSS3,S100A8",8
"Gastrointestinal Disease,Organismal Injury and Abnormalities","Chronic periodontal disease",0.00575,"CRNN,MMP1,PRSS33,SPRR1A,SPRR2D",5
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism","Metabolism of terpenoid",0.00596,"CYP24A1,CYP27C1,CYP2A6 (includes others),RLBP1,UGT1A9 (includes others),UGT2B11,UGT2B28,UGT2B4",8
"Organismal Injury and Abnormalities,Psychological Disorders","Anxiety Disorders",0.00621,"CA6,CA9,CARTPT,GABRP,SCN1A,SLC1A6",6
"Cancer,Organismal Injury and Abnormalities","Nonhematologic malignant neoplasm",0.00634,"A2ML1,AARD,ACE2,ACTL8,ACTN2,AFAP1-AS1,AMTN,ANKRD1,ART3,BARHL2,BPI,C11orf86,C18orf63,C1orf94,CA6,CA9,CALCB,CARTPT,CASP14,CCKBR,CCL7,CDH1,CDH19,CDK5R2,CELF4,CHGA,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CXCL10,CYP24A1,CYP27C1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DIO1,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GAL,GGTLC2,GLDC,GNAT3,GNGT1,GSTA2,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LBX1,LCT,LEMD1,LIN28B,LINC00261,LMO1,LUZP4,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NGB,NKX1-2,NKX2-1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PCSK1N,PGBD5,PGPEP1L,PI3,PNMA6E,POU4F1,PPDPFL,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,RAET1L,RCOR2,RGR,RLBP1,ROPN1,S100A2,S100A8,SCHLAP1,SCN1A,SFTA3,SFTPC,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,SVOP,TAFA4,TBXT,TCAM1P,TCERG1L,TLX3,TMPRSS4,TMSB15A,TRIM15,TRIM43/TRIM43B,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZFP42,ZNF280A,ZP4",188
"Neurological Disease,Psychological Disorders","Bipolar disorder",0.00635,"CA6,CA9,FADS2,GABRP,GLDC,OPRK1,SCN1A,SLC1A6,STRA8",9
"Cardiovascular Disease,Organismal Injury and Abnormalities","Left ventricular dysfunction",0.00637,"ACE2,ACTN2,ANKRD1,HCN4,MMP1",5
"Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities","Prader-Willi syndrome",0.0064,"CA6,CA9,SCN1A",3
"Neurological Disease,Organismal Injury and Abnormalities","Partial seizure",0.00646,"CA6,CA9,GABRP,SCN1A",4
"Developmental Disorder,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Landau Kleffner syndrome",0.00651,"CA6,CA9",2
"Cellular Development,Nervous System Development and Function,Tissue Development","Differentiation of dopaminergic neurons",0.00651,"EN1,FOXA2",2
"Cancer,Cellular Development,Cellular Growth and Proliferation,Organismal Injury and Abnormalities,Tumor Morphology","Proliferation of cancer stem cells",0.00651,"GLDC,LIN28B",2
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Osteoporosis",0.00676,"CA6,CA9,SLC12A1,SOST",4
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","Esophageal carcinoma",0.00681,"CA9,CDH1,DLX6,FADS2,KRT20,LACRT,LBP,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,PADI3,PROKR2,PXDNL,S100A8,SCN1A,SLC39A12,STRA8",17
"Organismal Injury and Abnormalities","Bleeding",0.00725,"CA6,CA9,CHRNA9,FGA,FGB,GABRP,SCN1A",7
"Inflammatory Disease,Ophthalmic Disease,Organismal Injury and Abnormalities","Anterior uveitis",0.00733,"CA6,CA9,GABRP",3
"Neurological Disease","Tremor",0.00738,"CA6,CA9,GABRP,SCN1A",4
"Organismal Injury and Abnormalities","Acute pain",0.00738,"GABBR2,GABRP,OPRK1,SCN1A",4
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Psoriasis",0.00741,"CDH1,CXCL10,DCD,FABP7,FADS2,GAL,KRT6C,MMP1,PI3,PRSS3,S100A2,S100A8,SLC1A6,SPRR1A,SPRR2D",15
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","Gastro-esophageal carcinoma",0.00743,"A2ML1,AMTN,ART3,BPI,CA9,CCKBR,CDH1,CELF4,CHGA,CHRDL2,COL9A3,CRNN,CYP2A6 (includes others),CYP2F1,DLK1,DLX6,DMRT1,DNER,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FOXA2,GABRP,GNGT1,INA,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,LACRT,LBP,LBX1,LCT,LINC00261,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,NETO1,NGB,NKX1-2,OPRK1,PADI3,PCDH11X,PI3,POU4F1,PROKR2,PRR27,PRSS3,PXDNL,RCOR2,S100A2,S100A8,SCN1A,SLC1A6,SLC26A9,SLC39A12,SOX11,STRA8,TCERG1L,TRIM15,UGT1A6,UGT1A9 (includes others),UGT2B11,UGT2B4,WNT6,ZFP42,ZP4",73
"Ophthalmic Disease,Organismal Injury and Abnormalities","Secondary glaucoma",0.00754,"CA6,CA9",2
"Organismal Injury and Abnormalities,Respiratory Disease","High-altitude pulmonary edema",0.00754,"CA6,CA9",2
"Hematological Disease","Acquired hemophilia",0.00754,"FGA,FGB",2
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Spondylolisthesis",0.00754,"OPRK1,SCN1A",2
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Congenital disorder of glycosylation type 1a",0.00754,"CA6,CA9",2
"Cell-To-Cell Signaling and Interaction,Molecular Transport,Small Molecule Biochemistry","Secretion of catecholamine",0.00754,"CARTPT,CHGA",2
"Hematological Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Hemophilia A",0.00754,"FGA,FGB",2
"Neurological Disease,Organismal Injury and Abnormalities","Subarachnoid hemorrhage",0.0077,"CA6,CA9,CHRNA9,GABRP",4
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","Gastroesophageal cancer",0.00782,"A2ML1,AMTN,ART3,BPI,CA9,CCKBR,CDH1,CELF4,CHGA,CHRDL2,COL9A3,CRNN,CYP2A6 (includes others),CYP2F1,DDC,DLK1,DLX6,DMRT1,DNER,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FOXA2,GABRP,GNGT1,INA,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,LACRT,LBP,LBX1,LCT,LINC00261,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,NETO1,NGB,NKX1-2,OPRK1,PADI3,PCDH11X,PI3,POU4F1,PROKR2,PRR27,PRSS3,PXDNL,RCOR2,S100A2,S100A8,SCN1A,SLC1A6,SLC26A9,SLC39A12,SOX11,STRA8,TCERG1L,TMPRSS4,TRIM15,UGT1A6,UGT1A9 (includes others),UGT2B11,UGT2B4,WNT6,ZFP42,ZP4",75
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Fragile X syndrome",0.00783,"GABBR2,SCN1A,SLC1A6",3
"Organismal Injury and Abnormalities","Shoulder pain",0.00783,"CHRNA9,OPRK1,SCN1A",3
"Cardiovascular Disease","Primary hypertension",0.00801,"ACE2,CA6,CA9,DDC,SLC12A1",5
"Organismal Injury and Abnormalities","Disorder of pigmentation",0.00826,"CP,FABP7,FADS2,GAL,UGT1A6",5
"Neurological Disease","Essential tremor",0.00834,"CA6,CA9,SCN1A",3
"Inflammatory Disease,Organismal Injury and Abnormalities,Respiratory Disease","Acute respiratory distress syndrome",0.00853,"ACE2,CHRNA9,CXCL10,GABRP,SCN1A",5
"Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities","Diuretic-induced hypokalemia",0.00865,"CA6,CA9",2
"Cellular Development,Cellular Growth and Proliferation","Proliferation of embryonic cancer cell lines",0.00865,"LINC00261,TBXT",2
"Neurological Disease,Organismal Injury and Abnormalities","Generalized convulsive epilepsy",0.00879,"CA6,CA9,GABBR2,KCNQ2,SCN1A",5
"Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Withdrawal syndrome",0.00888,"CHRNA9,GABBR2,GABRP",3
"Gastrointestinal Disease,Organismal Injury and Abnormalities","Ileus",0.00888,"GABRP,OPRK1,SCN1A",3
"Endocrine System Disorders,Metabolic Disease,Organismal Injury and Abnormalities","Insulin resistance",0.009,"CA6,CA9,FOXA2,LBP,OPRK1,S100A8,SCN1A",7
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities","Neuroendocrine tumor",0.00905,"C18orf63,C1orf94,CALCB,CARTPT,CCKBR,CDH19,CHGA,CHRDL2,CT83,DDC,DLX6,DNER,FBN3,FETUB,FGA,FZD9,GAL,GLDC,GNGT1,HRCT1,IL36A,KLHL1,KRT20,LACRT,LCT,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PGBD5,PXDNL,RGR,S100A8,SCN1A,SH3GL3,SLC12A1,SLC26A9,SLIT1,SMR3A,STRA8,SULT1C3,TAFA4,TBXT,TLX3,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,ZP4",56
"Organismal Injury and Abnormalities,Psychological Disorders","Social anxiety disorder",0.00908,"CA6,CA9,SCN1A,SLC1A6",4
"Nutritional Disease","Weight gain",0.00908,"CA6,CA9,GABRP,SCN1A",4
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities","Endocrine gland tumor",0.00942,"A2ML1,AARD,ACE2,ACTL8,ACTN2,AFAP1-AS1,AMTN,ANKRD1,BARHL2,BPI,C11orf86,C18orf63,C1orf94,CA6,CA9,CALCB,CARTPT,CASP14,CCKBR,CDH1,CDH19,CDK5R2,CELF4,CHGA,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CT83,CYP24A1,CYP27C1,CYP2A6 (includes others),CYP2F1,DDC,DHRS2,DIO1,DLX6,DMRT1,DNER,ELF5,EN1,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GAL,GGTLC2,GLDC,GNAT3,GNGT1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LMO1,LUZP4,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB1,MAGEB4,MMP1,MSLN,NETO1,NKX1-2,NKX2-1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PCSK1N,PGBD5,POU4F1,PPDPFL,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRSS3,PRSS33,PXDNL,RAET1L,RCOR2,RGR,RLBP1,S100A8,SCN1A,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,STRA8,SULT1C3,SVOP,TAFA4,TBXT,TCERG1L,TLX3,TMPRSS4,TRIM15,TRIM43/TRIM43B,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZP4",154
"Respiratory Disease","Respiratory insufficiency",0.00943,"CA6,CA9,CHRNA9",3
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Inherited arrhythmia syndrome",0.00945,"ACTN2,ANKRD1,HCN4,KCNE5",4
"Cancer,Cellular Movement,Organismal Injury and Abnormalities","Invasion of mammary epithelial cells",0.00948,"MMP1",1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Reproductive System Disease","Hypogonadotropic hypogonadism 3 without anosmia",0.00948,"PROKR2",1
"Cancer,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities","Non-functional pancreatic neuroendocrine tumor",0.00948,"CHGA",1
"Organismal Injury and Abnormalities,Renal and Urological Disease","Urinary bladder voiding dysfunction",0.00948,"SCN1A",1
"Cell Death and Survival","Cell viability of bronchial epithelial cells",0.00948,"UBD",1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Uridine-cytidineuria",0.00948,"SLC28A1",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Susceptibility to familial febrile seizures type 3A",0.00948,"SCN1A",1
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Sick sinus syndrome 2 with cardiac noncompaction",0.00948,"HCN4",1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Metabolic Disease,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders,Respiratory Disease","Congenital hypothyroidism with choreoathetosis and neonatal resporatory distress",0.00948,"NKX2-1",1
"Hereditary Disorder,Organismal Functions,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Autosomal dominant adult-onset distal myopathy type 6",0.00948,"ACTN2",1
"Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Congenital myopathy with structured cores and Z-line abnormalities",0.00948,"ACTN2",1
"Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization","Cell-cell contact of squamous carcinoma cells",0.00948,"CDH1",1
"Ophthalmic Disease,Organismal Injury and Abnormalities","Retinitis pigmentosa type 44",0.00948,"RGR",1
"Cellular Movement","Intravasation of squamous cell carcinoma cell lines",0.00948,"MMP1",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of L-leucine",0.00948,"CA9",1
"Dental Disease,Developmental Disorder,Gastrointestinal Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Amelogenesis imperfecta type IIIB",0.00948,"AMTN",1
"Cellular Movement","Transepithelial migration of squamous cell carcinoma cell lines",0.00948,"CDH1",1
"Developmental Disorder,Endocrine System Disorders,Hematological Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease","Bartter syndrome type 1",0.00948,"SLC12A1",1
"Cancer,Organismal Injury and Abnormalities","Transformation of RPE cells",0.00948,"PGBD5",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Early infantile epileptic encephalopathy type 7",0.00948,"KCNQ2",1
"Cellular Movement","Transepithelial migration of keratinocyte cancer cell lines",0.00948,"CDH1",1
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","TNM stage I gastric cancer",0.00948,"TMPRSS4",1
"Cell Death and Survival,Reproductive System Development and Function","Survival of mammary epithelial cells",0.00948,"EN1",1
"Lipid Metabolism,Small Molecule Biochemistry","Binding of lipoteichoic acid",0.00948,"LBP",1
"Embryonic Development,Nervous System Development and Function,Organ Development,Organismal Development,Tissue Development","Development of globus pallidus",0.00948,"NKX2-1",1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Autosomal dominant craniodiaphyseal dysplasia",0.00948,"SOST",1
"Cancer,Connective Tissue Disorders,Organismal Injury and Abnormalities,Respiratory Disease","Neoplastic cell transformation of pulmonary fibroblasts",0.00948,"GLDC",1
"Drug Metabolism","Storage of levodopa",0.00948,"CHGA",1
"Molecular Transport","Secretion of urea",0.00948,"FOXA2",1
"Cell-To-Cell Signaling and Interaction","Reactivity of natural killer cells",0.00948,"CDH1",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Early infantile epileptic encephalopathy type 59",0.00948,"GABBR2",1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Reproductive System Disease,Respiratory Disease","Kallmann syndrome type 3",0.00948,"PROKR2",1
"Cell Cycle","Arrest in Gap 0-Gap 1 phase of cholangiocarcinoma cell lines",0.00948,"AFAP1-AS1",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Familial temporal lobe epilepsy type 8",0.00948,"GAL",1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities","Newfoundland rod-cone dystrophy",0.00948,"RLBP1",1
"Cancer,Gastrointestinal Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Hereditary diffuse gastric adenocarcinoma",0.00948,"CDH1",1
"Cancer,Gastrointestinal Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Autosomal dominant hereditary diffuse gastric cancer",0.00948,"CDH1",1
"Cell Morphology,Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization","Extension of focal adhesions",0.00948,"CDH1",1
"Amino Acid Metabolism,Energy Production,Post-Translational Modification,Small Molecule Biochemistry","Auto-oxidation of cystine",0.00948,"CP",1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Sclerosteosis type 1",0.00948,"SOST",1
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Well-differentiated malignant neoplasm of prostate",0.00948,"FABP7",1
"Cell Cycle","Arrest in S/G2 phase transition of breast cancer cell lines",0.00948,"FABP7",1
"Metabolic Disease,Organismal Injury and Abnormalities,Psychological Disorders","Protection against nicotine dependence",0.00948,"CYP2A6 (includes others)",1
"Cancer","Establishment of lung cancer cell lines",0.00948,"FZD9",1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities","Bothnia retinal dystrophy",0.00948,"RLBP1",1
"Cell Cycle","Exit from mitosis of lung cancer cell lines",0.00948,"CYP24A1",1
"Cell-To-Cell Signaling and Interaction","Adhesion of neural stem cells",0.00948,"CDH1",1
"Cancer,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Susceptibility to neuroblastoma type 7",0.00948,"LMO1",1
"Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Deficiency of aromatic-l-amino-acid decarboxylase",0.00948,"DDC",1
"Cell Cycle","Entry into S phase of skin cancer cell lines",0.00948,"CDH1",1
"Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Deficiency of ferroxidase",0.00948,"CP",1
"Cell Cycle","Tetraploidy of sarcoma cell lines",0.00948,"CDH1",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Myokymia with neonatal epilepsy",0.00948,"KCNQ2",1
"Drug Metabolism","Hydroxylation of coumarin",0.00948,"CYP2A6 (includes others)",1
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Non-mucinous lung adenocarcinoma",0.00948,"NKX2-1",1
"DNA Replication, Recombination, and Repair,Nucleic Acid Metabolism,Small Molecule Biochemistry","Metabolism of deoxyuridine",0.00948,"GLDC",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Limb-brain type ENDOVE syndrome",0.00948,"EN1",1
"Cardiovascular Disease,Organismal Injury and Abnormalities,Reproductive System Disease","Postpartum preeclampsia",0.00948,"SLC12A1",1
